1000-010-697T;823559-0005/843059-0003;DSGT-006-L
1000-010-698;763493-0005;GT17-128
1000-010-700;817210-0001;GT35-028
1000-010-701;825246-0001/799171-0001/799171-0002;GT12-014
1000-010-702T;894018-0005/894018-0002;GT20-100BR
1000-010-703;820302-0005;GT17-221
1000-010-704;818698-0003;GT30-009
1000-010-705;810923-0016;GT15-129
1000-010-706T;850282-0006;NGT-010BR
1000-010-707;827728-0008;GT25-048
1000-010-708T;836825-0009;GT17-144B
1000-010-709;466646-0041;T4-074
1000-010-710T;873767-0001;GT14-048-2B
1000-010-711T;916039-0001;GT20-097B
1000-010-712T;839077-0011;GT20-072B
1000-010-713T;831120-0006;GT14-065B
1000-010-714;777948-0003;GT14-032
1000-010-715;816555-0006;GT15-110
1000-010-716;789456-0006;GT32-020
1000-010-717;702989-0006;GT22-011
1000-010-718T;858366-0001;GT12-062
1000-010-719T;819863-0002;GT12-039-1B
1000-010-720T;826830-0004;GTR-039BG
1000-010-721;767878-0001;GT20-048
1000-010-722T;823665-0001;GT14-053B
1000-010-723;827052-0002;GT17-168
1000-010-724T;847009-0006/847009-0007;GT12-046BR
1000-010-725T;872869-0001;GT14-099B
1000-010-727;823024-0005;GT20-066
1000-010-728TR;874490-0003;GT17-170BG
1000-010-729TR;853741-0001;GT17-170BG
1000-010-730;800075-0011/800075-0012;GT22-053R
1000-010-731;767032-0001;GT15-087
1000-010-732T;845275-0002;GT12-063B
1000-010-733T;821402-0005/821402-0010;GT22-085BR
1000-010-734T;834142-0008/834142-0005/834142-0007;GT22-058BR
1000-010-736;734598-0003;GT15-111
1000-010-737T;833718-0005;GT20-113B
1000-010-738T;852072-0002;GT14-082B
1000-010-739T;854870-0008;GT17-196B
1000-010-740T;833714-0002;GT12-052B
1000-010-741TR;819976-0012;GT17-117BG
1000-011-001T;1761178;Co-000BR
1000-011-002T;2800013005280;Co-006
1000-011-003T;28000130032;Co-009BR
1000-012-001T;030TC11001000;BM-003
1000-012-002T;030TC11004000;BM-000B
1000-012-003T;030TC11006000;BM-005B
1000-012-004T;401TN100144;BM-009BR
1000-020-003;3594941;HX5-019
1000-020-004;3598391/3598392;HX-052
1000-020-005;3525648;H1-001
1000-020-005B;3530879;H1-020
1000-020-103;3591167/4033118;HX5-003
1000-020-108;3591077/4049337/712922-0001;HX5-008
1000-020-108B;3790501/3790527/4044583/4044585/4046848/4046849;HX5-021
1000-020-108T;3591077;HX5-008
1000-020-112;3537639/3538860/3538861/4033155;HX5-006
1000-020-116;3529032/3529040;HTB-002
1000-020-117;3535381;H1-002
1000-020-119;3597546;HX5-005
1000-020-121;3525517;H2-002
1000-020-122;3537288/3536404;HX-022
1000-020-122B;4038425/4038421;HX-001
1000-020-123;3538868/3538881/3539343/3539344/3592766/3592767/4038209/4038597/4042667/4044890/4955156;HX-005
1000-020-123B;3599491/3599492/3599493;HX-131
1000-020-123C;4037469/4955155;HX-108
1000-020-125T;4036583;HX5-027-1
1000-020-126;3526739;H1-001
1000-020-126F;3526739;H1-001
1000-020-127;4046837/4046836;HE3-021
1000-020-129;3592886/3592836;HY3-004
1000-020-130;4040382/3592317/4033321/4040353;HX-011
1000-020-131;3597311/3599155;HX-001
1000-020-132;3591023;HX-003
1000-020-133;4043600;HE-000
1000-020-135;4042333;HX-072
1000-020-135T;4042333;HX-072
1000-020-136;3538414/3539369/3539370/3802992;HX-021
1000-020-136B;4035253/4035254/4033937;HX-155
1000-020-136C;3539678/3539679/4033596/3591461/4035455/3593185;HX-101
