NR-N150-1;;1;6 081,00;
NR-N150R;;2;5 613,00;1
NR-N151R;;1;5 769,00;1
NR-N152;;1;12 786,00;
NR-N154;;2;4 366,00;
NR-N158;;2;6 549,00;1
NR-N163;;1;11 850,00;
NR-N169;;1;7 640,00;
NR-N177;;3;6 237,00;1
NR-VG7-set2;;1;18 243,00;
NR-VGT-VG1-001;;1;13 254,00;1
NR-VGT-VG1-002;;3;12 942,00;1
NR-VGT-VG6-001;;2;12 942,00;1
VGT-VG8-007-N;;1;13 098,00;
VGT-VG8-005-N;NR-VGT-VG8-005-N;2;12 318,00;1
BP-BW1-1B;;1;218,00;
BP-BW2-1B;;1;312,00;1
BP-G24-2-1;;2;1 091,00;1
BP-GT001;;2;312,00;1
BP-GT006;;1;359,00;
BP-GT017;;1;359,00;
BP-GT030-3;;1;296,00;1
BP-GT033-1;;1;281,00;
BP-GT038;;1;312,00;1
BP-GT048;;2;359,00;1
BP-H3-2B;;2;359,00;1
BP-I16-6;;1;499,00;1
BP-K1-14;;2;343,00;
BP-K2-12;;1;982,00;1
BP-K3-2B;;1;172,00;1
BP-K4-5;;1;951,00;
BP-K8-1B;Старое BP-BW3-1B;1;359,00;1
BP-KA4-1B;90-14;1;405,00;1
BP-S1-2B;;3;312,00;1
BP-T3-2;;1;515,00;
TNHL-EAI-001;C;2;1 403,00;1
TN-EAI-002;;19;1 403,00;
TNHL-EAI-003;D;10;1 559,00;1
B0-004B;;2;7 484,00;1
B0-006B;;2;6 549,00;1
B0-009B;;1;6 861,00;
B01-002BR;;1;7 017,00;1
B01-004BR;;3;7 173,00;1
B01-008B;;1;7 173,00;
B01-010BR;;1;6 705,00;
B01-011B;;1;7 796,00;1
B01-014BR;B01-014BR;1;7 173,00;1
B01-015BR;;3;7 796,00;
B01-027B;;1;7 484,00;1
B03-000BR;;4;9 044,00;1
B03-002;;1;7 796,00;1
B03-003B;;2;8 576,00;1
B03-004BR;;2;9 044,00;1
B03-007BR;;1;9 044,00;1
B03-009BR;;1;9 044,00;1
B03-010B;;2;8 108,00;
B03-014BR;;1;8 732,00;1
B03-017;;2;9 200,00;1
B03-031BR;;2;9 823,00;1
B1-002;;1;7 796,00;1
B1-008B;;3;10 135,00;1
B1-011B;;2;10 759,00;1
B2-007;;2;10 603,00;1
B2-016;;1;10 291,00;1
B2-026B;;1;11 694,00;
B2-028;;1;10 603,00;
B2-057;;1;11 227,00;
B3-001;;2;16 060,00;
B3-007-C1;;2;14 033,00;1
B3-011B;;1;15 904,00;
B3-014B;;1;21 206,00;
BM-000B;;2;7 328,00;1
BM-003BR;;2;7 484,00;1
BM-004B;;1;7 017,00;
BM-009BR;;2;8 108,00;
BM-017BR;;1;9 979,00;1
BM-018B;;3;7 952,00;1
BM-019B;;3;7 328,00;
BV38-002B;;1;6 237,00;1
BV38-003B;;1;6 705,00;1
BV40-000B;;3;6 237,00;1
BV40-001B;;1;6 705,00;1
BV40-002B;;1;6 861,00;1
BV40-006B;;1;7 640,00;
BV40-007B;;1;7 173,00;1
BV40-009B;;1;8 264,00;1
BV55-000B;;1;18 243,00;
BV70-000B;;1;24 480,00;1
Co-008BR;HX7Z-6k682;2;7 952,00;1
Co-012BR;;1;7 640,00;
CT12-000;;1;7 952,00;1
CT12-001;;1;6 549,00;1
CT12-008;;1;7 173,00;1
CT16-000;;2;5 457,00;1
CT16-001;;1;5 613,00;
CT16-004;;1;6 237,00;1
CT16-005B;;4;8 264,00;1
CT20-001;CT20-000;2;8 420,00;1
CT20-005;;1;7 484,00;1
CT20-006;;1;8 420,00;
CT26-001;;2;8 888,00;1
CT26-002;;1;8 264,00;1
CT9-000;CT9-001,CT9-002,CT12-009;2;7 017,00;1
CT-VNT3B;;7;7 952,00;1
CT-VNT4B;;3;7 952,00;1
CT-VNT5;;2;7 017,00;1
CT-VNT7-1B;;1;9 044,00;1
CT-VNT7BG;;2;18 399,00;1
CZ-000;;2;6 549,00;1
CZ-005;C15-505;1;8 576,00;1
CZ-008;K27-145-01;4;7 484,00;1
CZ-019B;;13;7 952,00;1
CZ-030;;1;6 861,00;1
GT12-000;;2;5 925,00;1
GT12-001-1;;1;6 861,00;
GT12-009;;1;6 861,00;1
GT12-029B;;1;6 549,00;1
GT12-033-1B;;1;7 017,00;
GT12-033B;;2;6 705,00;1
GT12-039B;;1;7 640,00;
GT12-040B;;3;7 173,00;1
GT12-041B;;1;6 705,00;1
GT12-043BR;;1;7 017,00;1
GT12-045B;;2;7 640,00;1
GT12-046BR;;1;7 017,00;
GT12-052B;;1;7 796,00;1
GT12-059B;;2;7 017,00;1
GT12-063-1B;;1;8 108,00;
GT14-005;;2;7 017,00;1
GT14-006;;1;6 861,00;1
GT14-009;;7;6 081,00;1
GT14-012;;1;5 769,00;
GT14-013;;1;5 613,00;1
GT14-015;;3;6 081,00;1
GT14-018;;1;6 237,00;1
GT14-022;;1;7 328,00;
GT14-029BR;;2;7 484,00;1
GT14-031;;1;6 705,00;
GT14-033B;;1;7 796,00;1
GT14-035;;1;7 640,00;1
GT14-037;;1;7 173,00;1
GT14-038;;1;6 549,00;1
GT14-044B;;1;7 328,00;
GT14-048-1B;;2;7 640,00;1
GT14-049B;;1;7 952,00;1
GT14-051B;;1;7 328,00;
GT14-053-1;;2;7 796,00;1
GT14-053B;;1;7 796,00;
GT14-055B;;2;8 420,00;
GT14-056B;;2;6 861,00;1
GT14-057-1BR;;1;6 549,00;1
GT14-057B;;1;6 705,00;1
GT14-061BR;;1;8 108,00;1
GT14-072;;1;6 861,00;1
GT14-084B;;2;6 549,00;1
GT14-085B;;1;7 796,00;
GT14-086B;;2;8 576,00;
GT14-087BR;;3;7 328,00;1
GT14-088B;;2;7 017,00;1
GT14-099B;;1;8 420,00;1
GT15-001;;2;4 678,00;1
GT15-002;;1;4 678,00;
GT15-005;;1;5 146,00;1
GT15-006;;2;5 769,00;1
GT15-007;;1;4 678,00;
GT15-008;;2;4 678,00;1
GT15-012;;2;4 990,00;1
GT15-013;;4;4 678,00;1
GT15-015;;1;4 678,00;
GT15-016;;1;5 146,00;
GT15-017;;1;6 237,00;1
GT15-018;;1;6 237,00;1
GT15-019;;1;5 146,00;1
GT15-020;;1;4 990,00;1
GT15-024-1;;2;5 613,00;
GT15-025;;2;5 146,00;1
GT15-029;;2;5 146,00;1
GT15-037;;1;6 549,00;1
