K03-085B;;2;8 529,00;;;
K03-116B;;2;7 740,00;;;
R2S-072-HB;;3;9 477,00;;;
NR-N039-1;;1;3 001,00;;;
NR-N084-1B;;1;3 001,00;;;
NR-VGT-VG8-007-N;;1;13 268,00;;;
BP-BW1-1B;;1;221,00;;;
BP-GT006;;1;363,00;;;
BP-GT017;;1;363,00;;;
BP-GT030-3;;1;300,00;;;
BP-H16-1B;;1;474,00;;;
BP-I16-6;;1;505,00;;;
BP-K3-2B;;1;174,00;;;
BP-K4-5;;1;963,00;;;
BP-KA4-1B;90-14;1;411,00;;;
BP-S10-1B;;1;363,00;;;
BP-T3-2;;1;521,00;;;
NR-N008-1-S;;1;1 232,00;;;
NR-N008-2-S;;1;1 232,00;;;
NR-N008-S;;2;821,00;;;
NR-N010;;1;5 054,00;;;
NR-N012;;1;3 317,00;;;
NR-N015-2;;1;2 685,00;;;
NR-N016;;1;3 159,00;;;
NR-N016-2;;1;3 317,00;;;
NR-N019-3;;2;3 317,00;;;
NR-N022-1;;1;5 686,00;;;
NR-N030-1-S;;1;1 264,00;;;
NR-N041;;1;3 633,00;;;
NR-N043;;1;6 476,00;;;
NR-N043-1;;2;8 055,00;;;
NR-N044;;1;3 317,00;;;
NR-N045;;1;4 739,00;;;
NR-N055-1B;;1;2 843,00;;;
NR-N057-1B;;1;3 080,00;;;
NR-N058-1B;;2;3 475,00;;;
NR-N065;;2;6 002,00;;;
NR-N069;;1;5 212,00;;;
NR-N085-1;;2;5 054,00;;;
NR-N085R;;1;6 002,00;;;
NR-N089;;1;5 844,00;;;
NR-N090-1;;1;6 318,00;;;
NR-N091-1;;1;11 846,00;;;
NR-N099;;1;3 949,00;;;
NR-N104;;1;13 900,00;;;
NR-N108;;1;6 002,00;;;
NR-N111;;1;6 318,00;;;
NR-N115;;1;3 633,00;;;
NR-N122;;1;7 582,00;;;
NR-N125;;1;7 424,00;;;
NR-N128;;1;5 844,00;;;
NR-N130;;1;5 686,00;;;
NR-N131;;1;6 476,00;;;
NR-N140;;6;8 371,00;;;
NR-N152;;1;12 952,00;;;
NR-VG1-2e;;2;4 423,00;;;
NR-VG7-set2;;1;18 480,00;;;
NR-VG8-2b;;1;4 107,00;;;
NR-VGT-VG1-001;;2;13 426,00;;;
NR-VGT-VG6-001;;4;13 110,00;;;
TN-FLP-037;03F145701R/G/F;3;1 580,00;;;
TN-FLP-072-1;49477-02401;1;1 895,00;;;
TN-FLP-073-1;18539700010/b03-004;2;3 949,00;;;
TN-FLP-080;;2;1 895,00;;;
TN-FLP-N55;1853-970-0008;2;1 895,00;;;
